ReturnID,OrderID,DateKey,ProductID,QuantityReturned,ReturnReason
RT00001,ORD000090,20230529,PRD000058,1,Defective Item
RT00002,ORD000099,20240831,PRD000005,1,Defective Item
RT00003,ORD000130,20250908,PRD000024,1,Defective Item
RT00004,ORD000141,20231229,PRD000098,1,Damaged during Delivery
RT00005,ORD000143,20250129,PRD000010,1,Defective Item
RT00006,ORD000155,20240218,PRD000012,1,Defective Item
RT00007,ORD000187,20250622,PRD000089,1,Damaged during Delivery
RT00008,ORD000214,20231210,PRD000012,1,Damaged during Delivery
RT00009,ORD000237,20251018,PRD000084,1,Wrong Item Shipped
RT00010,ORD000255,20241213,PRD000027,1,Changed My Mind
RT00011,ORD000296,20230528,PRD000054,1,Damaged during Delivery
RT00012,ORD000312,20240321,PRD000034,1,Unsatisfied with Quality
RT00013,ORD000315,20250822,PRD000095,1,Defective Item
RT00014,ORD000372,20241218,PRD000054,1,Defective Item
RT00015,ORD000461,20240825,PRD000008,1,Wrong Item Shipped
RT00016,ORD000562,20240224,PRD000051,1,Defective Item
RT00017,ORD000577,20250715,PRD000007,1,Unsatisfied with Quality
RT00018,ORD000578,20240401,PRD000089,1,Damaged during Delivery
RT00019,ORD000639,20240727,PRD000097,1,Damaged during Delivery
RT00020,ORD000689,20231007,PRD000084,1,Damaged during Delivery
RT00021,ORD000761,20241105,PRD000044,1,Defective Item
RT00022,ORD000779,20240208,PRD000089,1,Defective Item
RT00023,ORD000782,20250430,PRD000043,1,Wrong Item Shipped
RT00024,ORD000812,20251206,PRD000083,1,Unsatisfied with Quality
RT00025,ORD000824,20250421,PRD000044,1,Unsatisfied with Quality
RT00026,ORD000832,20230128,PRD000050,1,Wrong Item Shipped
RT00027,ORD000842,20240508,PRD000009,1,Defective Item
RT00028,ORD000858,20250519,PRD000097,1,Damaged during Delivery
RT00029,ORD000861,20230726,PRD000027,2,Wrong Item Shipped
RT00030,ORD000916,20240829,PRD000043,1,Damaged during Delivery
RT00031,ORD000936,20250716,PRD000051,1,Defective Item
RT00032,ORD000946,20251102,PRD000089,1,Defective Item
RT00033,ORD000989,20250603,PRD000011,1,Changed My Mind
RT00034,ORD000998,20240608,PRD000064,1,Unsatisfied with Quality
RT00035,ORD001031,20250316,PRD000084,1,Wrong Item Shipped
RT00036,ORD001047,20240306,PRD000022,1,Changed My Mind
RT00037,ORD001073,20240130,PRD000001,1,Damaged during Delivery
RT00038,ORD001093,20230325,PRD000031,1,Damaged during Delivery
RT00039,ORD001172,20240727,PRD000045,2,Defective Item
RT00040,ORD001223,20241209,PRD000051,1,Unsatisfied with Quality
RT00041,ORD001259,20241204,PRD000031,1,Damaged during Delivery
RT00042,ORD001270,20240129,PRD000012,2,Wrong Item Shipped
RT00043,ORD001285,20230331,PRD000064,1,Defective Item
RT00044,ORD001318,20230417,PRD000009,1,Damaged during Delivery
RT00045,ORD001336,20250728,PRD000055,1,Damaged during Delivery
RT00046,ORD001366,20251230,PRD000097,1,Defective Item
RT00047,ORD001382,20250405,PRD000044,1,Defective Item
RT00048,ORD001470,20240811,PRD000095,1,Damaged during Delivery
RT00049,ORD001501,20250717,PRD000098,1,Damaged during Delivery
RT00050,ORD001516,20251111,PRD000095,1,Defective Item
RT00051,ORD001547,20251009,PRD000059,1,Wrong Item Shipped
RT00052,ORD001562,20240518,PRD000010,1,Damaged during Delivery
RT00053,ORD001584,20240326,PRD000087,1,Wrong Item Shipped
RT00054,ORD001594,20240226,PRD000080,1,Damaged during Delivery
RT00055,ORD001710,20230627,PRD000061,1,Damaged during Delivery
RT00056,ORD001721,20230717,PRD000041,1,Damaged during Delivery
RT00057,ORD001742,20250906,PRD000050,1,Damaged during Delivery
RT00058,ORD001801,20231117,PRD000014,1,Wrong Item Shipped
RT00059,ORD001810,20250122,PRD000064,1,Wrong Item Shipped
RT00060,ORD001835,20250719,PRD000084,1,Unsatisfied with Quality
RT00061,ORD001883,20240505,PRD000089,1,Defective Item
RT00062,ORD001940,20240806,PRD000010,1,Defective Item
RT00063,ORD001942,20241024,PRD000065,1,Defective Item
RT00064,ORD001960,20240713,PRD000037,1,Defective Item
RT00065,ORD001964,20230228,PRD000003,1,Changed My Mind
RT00066,ORD001974,20231114,PRD000045,1,Defective Item
RT00067,ORD001976,20251001,PRD000051,1,Wrong Item Shipped
RT00068,ORD002006,20250502,PRD000010,1,Damaged during Delivery
RT00069,ORD002012,20241206,PRD000065,1,Defective Item
RT00070,ORD002015,20240713,PRD000009,1,Defective Item
RT00071,ORD002039,20241026,PRD000076,1,Defective Item
RT00072,ORD002073,20251222,PRD000050,1,Unsatisfied with Quality
RT00073,ORD002083,20250408,PRD000037,1,Damaged during Delivery
RT00074,ORD002123,20250827,PRD000095,1,Wrong Item Shipped
RT00075,ORD002138,20250925,PRD000068,1,Defective Item
RT00076,ORD002177,20250825,PRD000047,1,Defective Item
RT00077,ORD002185,20240824,PRD000083,1,Damaged during Delivery
RT00078,ORD002217,20230703,PRD000095,1,Unsatisfied with Quality
RT00079,ORD002221,20231031,PRD000084,1,Defective Item
RT00080,ORD002223,20250826,PRD000052,1,Wrong Item Shipped
RT00081,ORD002237,20241223,PRD000009,1,Defective Item
RT00082,ORD002274,20230715,PRD000054,1,Defective Item
RT00083,ORD002294,20251215,PRD000041,1,Damaged during Delivery
RT00084,ORD002371,20240511,PRD000001,1,Damaged during Delivery
RT00085,ORD002482,20240806,PRD000063,1,Defective Item
RT00086,ORD002490,20230321,PRD000049,1,Wrong Item Shipped
RT00087,ORD002505,20241214,PRD000025,1,Defective Item
RT00088,ORD002520,20240106,PRD000076,1,Defective Item
RT00089,ORD002528,20251228,PRD000097,1,Defective Item
RT00090,ORD002585,20250801,PRD000054,1,Defective Item
RT00091,ORD002618,20241217,PRD000001,54,Damaged during Delivery
RT00092,ORD002695,20251201,PRD000062,1,Damaged during Delivery
RT00093,ORD002789,20250922,PRD000028,1,Damaged during Delivery
RT00094,ORD002812,20251011,PRD000083,1,Defective Item
RT00095,ORD002854,20240505,PRD000084,1,Damaged during Delivery
RT00096,ORD002905,20231110,PRD000098,1,Defective Item
RT00097,ORD002917,20250104,PRD000001,1,Defective Item
RT00098,ORD002959,20250807,PRD000044,1,Damaged during Delivery
RT00099,ORD003006,20240513,PRD000097,1,Wrong Item Shipped
RT00100,ORD003064,20231019,PRD000067,1,Damaged during Delivery
RT00101,ORD003124,20250311,PRD000066,1,Wrong Item Shipped
RT00102,ORD003150,20230514,PRD000045,1,Defective Item
RT00103,ORD003211,20250511,PRD000043,1,Damaged during Delivery
RT00104,ORD003293,20230222,PRD000009,1,Damaged during Delivery
RT00105,ORD003302,20240120,PRD000045,1,Wrong Item Shipped
RT00106,ORD003339,20250912,PRD000001,1,Defective Item
RT00107,ORD003350,20230622,PRD000095,1,Unsatisfied with Quality
RT00108,ORD003384,20230509,PRD000001,1,Damaged during Delivery
RT00109,ORD003398,20250331,PRD000056,1,Unsatisfied with Quality
RT00110,ORD003436,20250701,PRD000051,1,Unsatisfied with Quality
RT00111,ORD003534,20240823,PRD000078,1,Changed My Mind
RT00112,ORD003548,20230110,PRD000050,1,Defective Item
RT00113,ORD003573,20241222,PRD000084,1,Defective Item
RT00114,ORD003578,20251214,PRD000020,1,Damaged during Delivery
RT00115,ORD003616,20230406,PRD000031,1,Damaged during Delivery
RT00116,ORD003642,20240412,PRD000099,1,Damaged during Delivery
RT00117,ORD003696,20251226,PRD000076,1,Defective Item
RT00118,ORD003757,20240125,PRD000050,1,Damaged during Delivery
RT00119,ORD003761,20251102,PRD000031,2,Damaged during Delivery
RT00120,ORD003771,20251023,PRD000071,1,Defective Item
RT00121,ORD003787,20250315,PRD000031,1,Defective Item
RT00122,ORD003800,20250910,PRD000097,1,Defective Item
RT00123,ORD003814,20250613,PRD000097,1,Defective Item
RT00124,ORD003820,20250927,PRD000037,1,Damaged during Delivery
RT00125,ORD003840,20230703,PRD000043,2,Unsatisfied with Quality
RT00126,ORD003857,20251115,PRD000036,1,Damaged during Delivery
RT00127,ORD003949,20251128,PRD000071,1,Defective Item
RT00128,ORD003966,20241005,PRD000054,1,Defective Item
RT00129,ORD004036,20240626,PRD000084,1,Wrong Item Shipped
RT00130,ORD004070,20240130,PRD000098,1,Damaged during Delivery
RT00131,ORD004109,20241028,PRD000050,1,Wrong Item Shipped
RT00132,ORD004111,20251026,PRD000095,1,Defective Item
RT00133,ORD004156,20251227,PRD000083,1,Unsatisfied with Quality
RT00134,ORD004167,20251217,PRD000062,1,Defective Item
RT00135,ORD004185,20230515,PRD000027,1,Wrong Item Shipped
RT00136,ORD004188,20231208,PRD000052,1,Unsatisfied with Quality
RT00137,ORD004218,20250116,PRD000066,1,Damaged during Delivery
RT00138,ORD004246,20241212,PRD000049,1,Damaged during Delivery
RT00139,ORD004293,20240319,PRD000051,1,Defective Item
RT00140,ORD004297,20230421,PRD000040,1,Damaged during Delivery
RT00141,ORD004307,20250327,PRD000089,1,Damaged during Delivery
RT00142,ORD004332,20240715,PRD000020,1,Wrong Item Shipped
RT00143,ORD004350,20241130,PRD000020,1,Damaged during Delivery
RT00144,ORD004362,20230715,PRD000097,1,Wrong Item Shipped
RT00145,ORD004419,20230630,PRD000052,1,Wrong Item Shipped
RT00146,ORD004436,20241108,PRD000020,1,Defective Item
RT00147,ORD004450,20250813,PRD000064,1,Defective Item
RT00148,ORD004498,20230429,PRD000089,2,Defective Item
RT00149,ORD004503,20240504,PRD000035,1,Wrong Item Shipped
RT00150,ORD004508,20251124,PRD000001,2,Defective Item
RT00151,ORD004539,20251016,PRD000050,1,Defective Item
RT00152,ORD004550,20231202,PRD000097,1,Wrong Item Shipped
RT00153,ORD004574,20250103,PRD000051,1,Defective Item
RT00154,ORD004615,20250603,PRD000084,1,Wrong Item Shipped
RT00155,ORD004626,20250801,PRD000020,1,Unsatisfied with Quality
RT00156,ORD004630,20240312,PRD000012,1,Damaged during Delivery
RT00157,ORD004659,20240804,PRD000009,1,Damaged during Delivery
RT00158,ORD004666,20250210,PRD000045,1,Unsatisfied with Quality
RT00159,ORD004728,20230930,PRD000046,1,Changed My Mind
RT00160,ORD004908,20250313,PRD000083,1,Damaged during Delivery
RT00161,ORD004936,20250304,PRD000031,1,Defective Item
RT00162,ORD004960,20251023,PRD000054,1,Unsatisfied with Quality
RT00163,ORD004966,20240410,PRD000024,1,Defective Item
RT00164,ORD004999,20240710,PRD000064,1,Defective Item
RT00165,ORD005009,20250618,PRD000024,1,Wrong Item Shipped
RT00166,ORD005033,20251218,PRD000010,1,Damaged during Delivery
RT00167,ORD005035,20230725,PRD000054,1,Wrong Item Shipped
RT00168,ORD005124,20230619,PRD000084,1,Defective Item
RT00169,ORD005145,20241002,PRD000052,1,Damaged during Delivery
RT00170,ORD005217,20250305,PRD000009,1,Defective Item
RT00171,ORD005227,20230920,PRD000010,2,Unsatisfied with Quality
RT00172,ORD005231,20251101,PRD000020,1,Defective Item
RT00173,ORD005252,20250316,PRD000063,1,Defective Item
RT00174,ORD005260,20230106,PRD000034,1,Defective Item
RT00175,ORD005268,20251205,PRD000034,1,Defective Item
RT00176,ORD005279,20231126,PRD000084,2,Damaged during Delivery
RT00177,ORD005295,20230619,PRD000021,1,Defective Item
RT00178,ORD005313,20231011,PRD000051,1,Wrong Item Shipped
RT00179,ORD005331,20251122,PRD000037,1,Wrong Item Shipped
RT00180,ORD005355,20250110,PRD000052,1,Wrong Item Shipped
RT00181,ORD005389,20250830,PRD000009,1,Defective Item
RT00182,ORD005394,20250620,PRD000058,1,Defective Item
RT00183,ORD005402,20230822,PRD000045,1,Defective Item
RT00184,ORD005472,20250606,PRD000043,2,Unsatisfied with Quality
RT00185,ORD005571,20251024,PRD000051,1,Defective Item
RT00186,ORD005574,20230312,PRD000001,1,Defective Item
RT00187,ORD005580,20241016,PRD000068,1,Defective Item
RT00188,ORD005601,20250816,PRD000020,2,Unsatisfied with Quality
RT00189,ORD005639,20230123,PRD000043,1,Damaged during Delivery
RT00190,ORD005703,20250301,PRD000089,1,Damaged during Delivery
RT00191,ORD005712,20241210,PRD000067,1,Defective Item
RT00192,ORD005716,20251223,PRD000090,1,Wrong Item Shipped
RT00193,ORD005741,20230704,PRD000063,1,Damaged during Delivery
RT00194,ORD005776,20240323,PRD000054,1,Damaged during Delivery
RT00195,ORD005780,20250129,PRD000012,1,Defective Item
RT00196,ORD005805,20240816,PRD000020,1,Damaged during Delivery
RT00197,ORD005848,20251020,PRD000083,1,Unsatisfied with Quality
RT00198,ORD005998,20240205,PRD000095,1,Damaged during Delivery
RT00199,ORD006018,20251126,PRD000054,1,Damaged during Delivery
RT00200,ORD006043,20240803,PRD000054,1,Wrong Item Shipped
RT00201,ORD006065,20241001,PRD000020,1,Damaged during Delivery
RT00202,ORD006090,20230304,PRD000065,1,Damaged during Delivery
RT00203,ORD006099,20250731,PRD000048,1,Changed My Mind
RT00204,ORD006114,20231225,PRD000083,1,Defective Item
RT00205,ORD006139,20230814,PRD000037,1,Wrong Item Shipped
RT00206,ORD006147,20250806,PRD000009,1,Defective Item
RT00207,ORD006189,20251029,PRD000044,1,Damaged during Delivery
RT00208,ORD006230,20240807,PRD000068,1,Defective Item
RT00209,ORD006243,20240901,PRD000034,1,Damaged during Delivery
RT00210,ORD006256,20250816,PRD000040,1,Damaged during Delivery
RT00211,ORD006258,20251106,PRD000043,1,Defective Item
