DateKey,FullDate,DayOfWeek,DayNumberOfMonth,MonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,IsWeekend
20230101,2023-01-01,Sunday,1,January,1,Q1,2023,1
20230102,2023-01-02,Monday,2,January,1,Q1,2023,0
20230103,2023-01-03,Tuesday,3,January,1,Q1,2023,0
20230104,2023-01-04,Wednesday,4,January,1,Q1,2023,0
20230105,2023-01-05,Thursday,5,January,1,Q1,2023,0
20230106,2023-01-06,Friday,6,January,1,Q1,2023,0
20230107,2023-01-07,Saturday,7,January,1,Q1,2023,1
20230108,2023-01-08,Sunday,8,January,1,Q1,2023,1
20230109,2023-01-09,Monday,9,January,1,Q1,2023,0
20230110,2023-01-10,Tuesday,10,January,1,Q1,2023,0
20230111,2023-01-11,Wednesday,11,January,1,Q1,2023,0
20230112,2023-01-12,Thursday,12,January,1,Q1,2023,0
20230113,2023-01-13,Friday,13,January,1,Q1,2023,0
20230114,2023-01-14,Saturday,14,January,1,Q1,2023,1
20230115,2023-01-15,Sunday,15,January,1,Q1,2023,1
20230116,2023-01-16,Monday,16,January,1,Q1,2023,0
20230117,2023-01-17,Tuesday,17,January,1,Q1,2023,0
20230118,2023-01-18,Wednesday,18,January,1,Q1,2023,0
20230119,2023-01-19,Thursday,19,January,1,Q1,2023,0
20230120,2023-01-20,Friday,20,January,1,Q1,2023,0
20230121,2023-01-21,Saturday,21,January,1,Q1,2023,1
20230122,2023-01-22,Sunday,22,January,1,Q1,2023,1
20230123,2023-01-23,Monday,23,January,1,Q1,2023,0
20230124,2023-01-24,Tuesday,24,January,1,Q1,2023,0
20230125,2023-01-25,Wednesday,25,January,1,Q1,2023,0
20230126,2023-01-26,Thursday,26,January,1,Q1,2023,0
20230127,2023-01-27,Friday,27,January,1,Q1,2023,0
20230128,2023-01-28,Saturday,28,January,1,Q1,2023,1
20230129,2023-01-29,Sunday,29,January,1,Q1,2023,1
20230130,2023-01-30,Monday,30,January,1,Q1,2023,0
20230131,2023-01-31,Tuesday,31,January,1,Q1,2023,0
20230201,2023-02-01,Wednesday,1,February,2,Q1,2023,0
20230202,2023-02-02,Thursday,2,February,2,Q1,2023,0
20230203,2023-02-03,Friday,3,February,2,Q1,2023,0
20230204,2023-02-04,Saturday,4,February,2,Q1,2023,1
20230205,2023-02-05,Sunday,5,February,2,Q1,2023,1
20230206,2023-02-06,Monday,6,February,2,Q1,2023,0
20230207,2023-02-07,Tuesday,7,February,2,Q1,2023,0
20230208,2023-02-08,Wednesday,8,February,2,Q1,2023,0
20230209,2023-02-09,Thursday,9,February,2,Q1,2023,0
20230210,2023-02-10,Friday,10,February,2,Q1,2023,0
20230211,2023-02-11,Saturday,11,February,2,Q1,2023,1
20230212,2023-02-12,Sunday,12,February,2,Q1,2023,1
20230213,2023-02-13,Monday,13,February,2,Q1,2023,0
20230214,2023-02-14,Tuesday,14,February,2,Q1,2023,0
20230215,2023-02-15,Wednesday,15,February,2,Q1,2023,0
