ReturnID,OrderID,DateKey,ProductID,QuantityReturned,ReturnReason
RT00001,ORD000058,20250919,PRD000010,1,Damaged during Delivery
RT00002,ORD000063,20240204,PRD000001,1,Unsatisfied with Quality
RT00003,ORD000075,20250501,PRD000038,1,Defective Item
RT00004,ORD000084,20230920,PRD000017,1,Defective Item
RT00005,ORD000088,20240621,PRD000031,1,Damaged during Delivery
RT00006,ORD000107,20230316,PRD000096,1,Defective Item
RT00007,ORD000125,20230728,PRD000006,1,Wrong Item Shipped
RT00008,ORD000140,20251002,PRD000012,1,Defective Item
RT00009,ORD000142,20230223,PRD000076,1,Damaged during Delivery
RT00010,ORD000143,20230722,PRD000051,1,Defective Item
RT00011,ORD000226,20240621,PRD000021,2,Defective Item
RT00012,ORD000229,20230518,PRD000096,1,Defective Item
RT00013,ORD000245,20241225,PRD000055,1,Defective Item
RT00014,ORD000286,20230521,PRD000042,1,Damaged during Delivery
RT00015,ORD000291,20250510,PRD000082,1,Unsatisfied with Quality
RT00016,ORD000325,20250601,PRD000012,1,Unsatisfied with Quality
RT00017,ORD000341,20240422,PRD000009,1,Wrong Item Shipped
RT00018,ORD000353,20240616,PRD000043,1,Wrong Item Shipped
RT00019,ORD000356,20250828,PRD000065,1,Unsatisfied with Quality
RT00020,ORD000396,20250723,PRD000080,3,Changed My Mind
RT00021,ORD000416,20230501,PRD000010,1,Damaged during Delivery
RT00022,ORD000469,20250508,PRD000076,1,Wrong Item Shipped
RT00023,ORD000517,20241106,PRD000072,1,Damaged during Delivery
RT00024,ORD000560,20241123,PRD000089,1,Damaged during Delivery
RT00025,ORD000616,20230702,PRD000083,1,Damaged during Delivery
RT00026,ORD000701,20240705,PRD000054,1,Defective Item
RT00027,ORD000760,20240608,PRD000012,1,Defective Item
RT00028,ORD000855,20241030,PRD000021,1,Damaged during Delivery
RT00029,ORD000877,20230806,PRD000097,1,Unsatisfied with Quality
RT00030,ORD000943,20240905,PRD000064,1,Wrong Item Shipped
RT00031,ORD000958,20251130,PRD000058,1,Unsatisfied with Quality
RT00032,ORD000962,20230819,PRD000089,1,Defective Item
RT00033,ORD000979,20241026,PRD000045,1,Unsatisfied with Quality
RT00034,ORD000986,20230303,PRD000045,1,Damaged during Delivery
RT00035,ORD000997,20230723,PRD000010,1,Damaged during Delivery
RT00036,ORD001031,20250215,PRD000098,1,Damaged during Delivery
RT00037,ORD001043,20230928,PRD000019,2,Damaged during Delivery
RT00038,ORD001047,20231119,PRD000096,1,Defective Item
RT00039,ORD001057,20240419,PRD000089,1,Damaged during Delivery
RT00040,ORD001170,20230802,PRD000067,1,Defective Item
RT00041,ORD001203,20251220,PRD000089,1,Defective Item
RT00042,ORD001209,20240814,PRD000009,1,Damaged during Delivery
RT00043,ORD001221,20240513,PRD000035,1,Unsatisfied with Quality
RT00044,ORD001230,20241231,PRD000029,1,Changed My Mind
RT00045,ORD001325,20240308,PRD000098,2,Defective Item
RT00046,ORD001332,20241111,PRD000024,1,Damaged during Delivery
RT00047,ORD001368,20231219,PRD000037,1,Damaged during Delivery
